ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
743117294,20190415,,,,,,,1.0037525874294728e+18,,,STAR,gaia2,103.518128084453,60.8717138003585,gaia2,493.219,0.745286,-984.6619999999999,0.680185,gaia2,92.3604,0.501713,gaia2,155.066520090727,23.784417407038102,98.2817498382712,37.8204914907085,,,10.9964,0.0459,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84545,0.001518,8.7576,0.0062,gbprp,gaia2,,,,,,,,,,,,,,,,10.8244,0.0592,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0589,0.0595,bj2018,,,,11.2369,0.0017620000000000001,8.69857,0.0014759999999999999,0.0,,gaia2,,,13.404050791010802,10.5494128055543,103.52249071208401,60.8674743540097,0.40119089091662896,0.371558096987826,1.0,0.0,117489364
471011530,20190415,36215.0,,,,,,,,,STAR,hip,111.869248,22.043872,hip,-264.03,2.66,-143.72,1.72,tic7,50.93,2.71,hip,196.62386899999998,17.477073,110.19768899999998,0.12494200000000001,,,11.25,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,,hipvm,,,,,,,,,,,,,,,,,19.63479,1.04477,,,,,DUPLICATE,60842934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,,,2470.0,1670.0,111.86990214,22.04422148,2470.0,1670.0,,0.0,125854930
471011535,20190415,36627.0,,,,,,,,,STAR,hip,112.98898500000001,36.229836999999996,hip,-258.15,5.7,-254.27,2.62,tic7,87.15,4.85,hip,182.777706,23.313374,108.971879,14.292428,,,11.82,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82,,hipvm,,,,,,,,,,,,,,,,,11.47447,0.638568,,,,,DUPLICATE,16034007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,,,3560.0,2930.0,112.98964545,36.23045504,3560.0,2930.0,,0.0,126622124
471011291,20190415,7646.0,,,,,,,,,STAR,hip,24.624743,0.6515770000000001,hip,512.97,3.29,162.07,1.99,tic7,52.95,2.92,hip,146.99936499999998,-60.002675,23.050325,-8.934133000000001,,,11.6,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,,hipvm,,,,,,,,,,,,,,,,,18.88574,1.04148,,,,,DUPLICATE,262845999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,hipvmag,,,2890.0,1820.0,24.62349663,0.65118329,2890.0,1820.0,,0.0,22822201
674152670,20190415,,,,,,,3.4071505560919245e+18,,,STAR,gaia2,76.9554178626804,17.9826832195604,gaia2,32.0117,0.618621,-261.584,0.44415299999999996,gaia2,86.0992,0.30799499999999996,gaia2,184.447782943006,-13.240338819610901,77.5569544536116,-4.89491064723763,,,11.8191,0.0459,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6877,0.000446,9.6062,0.006,gbprp,gaia2,,,,,,,,,,,,,,,,11.6109,0.04185,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0417,0.042,bj2018,,,,12.0741,0.001749,9.55799,0.001194,0.0,,gaia2,,,9.713162728874881,6.889020937924809,76.95556276955409,17.9815569551607,0.319596058349026,0.25305835918652897,1.0,0.0,75267423
621970138,20190415,,,,,,,3.526494567531063e+17,,,STAR,gaia2,31.7382747279692,45.184494856910604,gaia2,280.827,0.8847860000000001,-458.436,0.8354950000000001,gaia2,51.4705,0.456379,gaia2,136.633255300609,-15.668807626440001,46.07474192767901,30.2226101883305,,,10.1977,0.0459,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5507,0.000547,8.6693,0.006,gbprp,gaia2,,,,,,,,,,,,,,,,19.4207,0.17345,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.172,0.1749,bj2018,,,,10.5028,0.002881,8.61619,0.002247,0.0,,gaia2,,,14.8596742700386,12.955555733715501,31.7399902093888,45.182521048069,0.4101823919014779,0.3734388700343571,1.0,0.0,29274128
761911887,20190415,,,,,,,3.1653465387297843e+18,,,STAR,gaia2,113.73470055595301,14.7649516327809,gaia2,-72.46,0.238474,-81.4997,0.185651,gaia2,61.7951,0.152652,gaia2,204.33122949075698,16.175445679372,113.07670733791201,-6.7931044728710805,,,11.4648,0.0547,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3951,0.0044340000000000004,9.3341,0.0078,gbprp,gaia2,,,,,,,,,,,,,,,,16.1751,0.0402,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,0.0401,0.0403,bj2018,,,,11.5011,0.020334,9.05613,0.027837,0.0,,gaia2,,,3.72936913938155,2.879689424092,113.734377921844,14.7646007315158,0.125924899053032,0.10992767411824,1.0,0.0,127520255
471011543,20190415,37279.0,,,,,,,,,STAR,hip,114.825498,5.224993,hip,-716.57,0.88,-1034.58,0.38,tic7,285.93,0.88,hip,213.70223,13.019397999999999,115.785537,-16.019614,,,0.33322199999999996,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,hipvm,,,,,,,,,,,,,,,,,3.49736,0.0107637,,,,,DUPLICATE,280310048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,sirful,,,820.0,500.0,114.82724194,5.22750767,820.0,500.0,,0.0,128019107
471011546,20190415,37826.0,,,,,,,,,STAR,hip,116.32911499999999,28.026199,hip,-625.69,1.02,-45.95,0.53,tic7,96.74,0.87,hip,192.229331,23.406397,113.215778,6.684212,,,1.1251200000000001,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,hipvm,,,,,,,,,,,,,,,,,10.33699,0.09296239999999999,,,,,DUPLICATE,423088367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,sirful,,,750.0,450.0,116.33068263,28.02631031,750.0,450.0,,0.0,128969219
35229531,20190415,45170.0,0825-01543-1,525-050209,09121762+1459454,,,6.074647167594605e+17,,,STAR,tmgaia2,138.073119022651,14.9960397966621,tmgaia2,-524.7040000000001,0.0345436,246.407,0.0226985,tgas,50.2302,0.335188,tgas,214.651448164623,37.8575558544014,135.955060004448,-1.1078777450428,7.228,0.021,6.49541,0.023,,,,,,,,,,,5.121,0.021,4.773,0.036000000000000004,4.664,0.017,AEA-111-111-000-0-0,,,,,,,,,,6.28265,0.000337826,5.7958,0.006,gbprp,tplx,,,,,,,,,,,,,DWARF,,,19.90834,0.131968,,,,,,,,,,,,,,,,,,,,,,,tgas,,,,6.68735,0.001322,5.7519599999999995,0.001391,0.0,,sirful,tycho2b3,,0.610455979903798,0.43770699951428993,138.070780229812,14.9971007276292,0.284620445945283,0.260394614783486,1.0,0.0,137121571
95431305,20190415,,1423-00174-1,550-048962,10193634+1952122,,,6.254536547027519e+17,43645057.0,,STAR,tmgaia2,154.901170011872,19.870003899297,tmgaia2,-498.605,0.119413,-43.6825,0.10331900000000001,gaia2,201.368,0.06787119999999999,gaia2,216.456021380709,54.5800246251735,149.523008836091,8.80987963301536,10.954,0.066,9.64,0.1,,,,,,,,,,,5.449,0.027000000000000003,4.843,0.02,4.593,0.017,AEA-111-111-000-0-0,,,,,,,,,,8.20658,0.001503,7.0360000000000005,0.032,cdwrf,cdwrf,,,4.80619,0.00547572,,,0.42247700000000005,0.0131859,0.41660600000000003,0.020743900000000003,5.5248,0.242279,DWARF,0.0,0.0,4.96531,0.001685,0.0,0.0,39.0,0.0038967679999999997,,,0.02374928,0.0,0.0,,,,,,,,,,,,,,bj2018,,,,9.62809,0.003206,7.05317,0.002861,1.0,,cdwrf,tycho2b3,cooldwarfs_v8,1.87996124220802,1.6024998726963702,154.898887344456,19.869815836399802,0.0575731065516468,0.0581494231410464,1.0,0.0,140464052
166646191,20190415,54035.0,2521-02279-1,,11032027+3558203,,,,,,STAR,2mass,165.8341,35.9699,2mass,-580.0,8.0,-4767.0,8.0,tic7,392.4,0.91,hip,185.118382,65.43153199999999,152.107086,27.393951,8.915,0.018000000000000002,7.49,0.1,,,,,,,,,,,4.32,0.282,3.722,0.22399999999999998,3.5010000000000003,0.35200000000000004,DDD-333-111-ddd-0-0,,,,,,,,,,,,5.697,0.121,cdwrf,cdwrf,,,4.84783,0.0432531,,,0.377222,0.04861409999999999,0.365558,0.057851,6.8102800000000006,1.59425,DWARF,0.0,0.0,5.675773,0.00590994,,,26.0,1.2345469999999998,,,0.03265031,,,,,,,,,,,,,,,,,,,,,,,,,,cdwrf,tycho2b3,cooldwarfs_v8,300.0,470.0,165.834471,35.972317,300.0,470.0,1.0,0.0,142341454
156372121,20190415,54658.0,3012-00620-1,668-057642,11111972+4325031,,,,52295917.0,,STAR,2mass,167.8311,43.4173,2mass,-623.14,2.0,-443.29,2.0,tic7,59.01,3.92,hip,167.535456,64.047273,149.762784,34.728365000000004,12.478,0.046,10.975,0.055999999999999994,,,,,,,,,,,7.332999999999999,0.035,6.739,0.028999999999999998,6.531000000000001,0.026000000000000002,AAA-111-111-ddd-0-0,,,,,,,,,,,,8.779,0.023,cdwrf,cdwrf,,,4.74495,0.08406960000000001,,,0.542,0.022000000000000002,0.595,0.013000000000000001,3.73697,0.45505500000000004,DWARF,0.04049326,0.0032872759999999996,2342.194,1.12573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdwrf,apassdr9,,70.0,110.0,167.8322,43.417549,70.0,110.0,1.0,0.0,142680918
229264027,20190415,29316.0,0734-01930-3,502-020712,06105481+1019056,,,,,,STAR,2mass,92.7283,10.3181,2mass,69.25,2.0,-896.12,2.0,tic7,92.77,4.56,hip,199.10756899999998,-4.148791,92.755865,-13.095095,11.64,0.13699999999999998,10.41,0.1,,,,,,,,,,,6.795,0.024,6.306,0.04,6.032,0.023,AAA-111-111-000-0-0,,,,,,,,,,,,8.276,0.033,cdwrf,cdwrf,,,4.76538,0.012577,,,0.468195,0.0190345,0.465762,0.0243815,4.5382,0.316633,DWARF,0.0,0.0,13.1455,0.529846,,,453.0,0.12679749999999998,,,0.01425874,,,,,,,,,,,,,,,,,,,,,,,,,,cdwrf,tycho2b3,cooldwarfs_v8,60.0,80.0,92.728388,10.318235000000001,60.0,80.0,1.0,0.0,99983421
