,GAIA,TWOMASS,ra,dec,plx,Vmag,Kmag,Teff,Lum
99,,,111.869248,22.043872,50.93,11.25,6.94600009918213,3776.0,0.042790105882699984
100,,,112.988985,36.229837,87.15,11.82,6.755000114440921,3122.0,0.0171257735584
102,,,24.624743,0.6515770000000001,52.95,11.6,7.323999881744388,3679.0,0.0341527896082
104,5.121679480436508e+17,01474488+6351090,26.9368067916626,63.8525020335248,99.5746,5.62847,4.0139999999999985,5344.0,0.5360708000000001
111,2.5648713615903517e+17,04585058+4950572,74.7107282964836,49.8492870640202,60.168,9.8,6.104,3867.0,0.07524810000000001
112,3.4071505560919245e+18,,76.9554178626804,17.9826832195604,86.0992,11.8191,7.17999982833862,3494.0,0.01070891922
113,3.3942985321763446e+18,05233836+1719267,80.9099145286648,17.3241171662948,68.6595,7.93,5.227,4576.92,0.1902923
114,2.835699286169608e+17,05454821+6214132,86.45115041539191,62.23677398965101,73.998,9.02,5.495,3990.0,0.1016634
116,3.774234508885623e+17,00570261+4505099,14.2612164889044,45.086053028514996,76.0648,11.972,7.241,3389.0,0.01488713
118,3.4851529733037786e+17,01414714+4236483,25.446429757537604,42.613456533607504,76.5204,4.96103,3.577,5870.0,1.499811
121,3.526494567531063e+17,,31.7382747279692,45.18449485691061,51.4705,10.1977,6.59800004959106,3953.0,0.06326574264859999
123,630505494719360.0,03062676+0157538,46.611404915506895,1.9651745836353,67.8892,9.07,5.646,4018.0,0.1110493
125,5.676598188550555e+17,03212176+7958022,50.3407473597199,79.96726521301508,71.7575,11.11,6.89,3557.0,0.02534229
129,4.33355371190089e+16,03434521+1640027,55.93853028964711,16.66726927554,58.007,10.812,6.688,3660.0,0.04415546
130,1.088813933689616e+18,07342749+6256295,113.61430273011801,62.94148938886729,84.6499,10.402,6.556,3716.0,0.02967626
131,3.134682194522548e+18,07341758+0059092,113.57327571742901,0.985907662468838,64.0879,11.914,7.434,3470.0,0.01861202
132,3.1653465387297843e+18,,113.73470055595301,14.7649516327809,61.7951,11.4648,6.3979997634887695,3504.0,0.0320737691616
134,,,114.825498,5.224993,285.93,0.333222,,6560.0,7.70408676475
135,,,116.329115,28.026199,96.74,1.12512,,4910.0,37.2317290982
136,6.766898314062241e+17,08081317+2106182,122.05494098459299,21.1050692869918,56.0044,9.41,6.082000000000002,4052.0,0.1116272
137,4.333588071639078e+16,03435253+1640198,55.969017434790494,16.672029220791302,58.1097,10.014,6.247000000000001,3882.0,0.07336969
138,5.311294427052083e+16,04052023+2200321,61.3344101495428,22.008904430661996,59.1895,5.903,4.381,5848.0,1.0527799999999998
145,8.792152389782387e+16,02355328+2013119,38.9721119982906,20.2198842598253,71.1607,10.636,6.3279999999999985,3560.0,0.03745814
150,7.005160808985754e+16,03462011+2612560,56.583916308993594,26.2155060820527,69.4494,9.61,5.8439999999999985,3842.0,0.07108146
151,6.766898314062244e+17,08081359+2106094,122.056654866488,21.102698450107106,55.94600000000001,11.2,6.522,3427.0,0.03959277
152,3.089711447388932e+18,08160798+0118091,124.03325599069599,1.30257423371031,111.842,10.099,5.766,3550.0,0.02806345
153,6.074647167594605e+17,09121762+1459454,138.073119022651,14.9960397966621,50.2302,6.49541,4.664,5433.0,1.05707051519
154,5.795675985020902e+17,09145366+0426343,138.723536387614,4.44283596571472,56.1805,7.91,5.255,4803.0,0.2411133
158,1.516500768384581e+17,04364822+2707559,69.2010055693521,27.1321939749745,57.1046,8.1,5.24,4831.0,0.2147316
161,2.6684663163752486e+17,05032402+5307412,75.8495899072443,53.128468334676896,72.1506,9.96,6.1720000000000015,3816.0,0.05360875
162,3.340477717172814e+18,05420897+1229252,85.53861371575259,12.4893365778639,172.707,11.56,6.3889999999999985,3243.0,0.006178772
163,3.399063235753902e+18,05542300+2016344,88.59569698812929,20.2762479173541,113.124,4.3971,2.9960000000000004,5988.0,1.142209
166,5.437896619326584e+17,03483822+7332352,57.159253998645106,73.54310742073841,62.705,11.188,7.166,3629.0,0.02777527
172,2.7285556576229568e+17,04374092+5253372,69.42054476064611,52.893614176993296,100.78,8.62,5.047,3961.0,0.07976052
173,7.465451723722564e+17,10010072+3155262,150.252736581022,31.9236713455063,66.9958,5.37988,3.821,5742.0,1.369586
174,6.254536547027519e+17,10193634+1952122,154.901170011872,19.870003899297,201.368,9.64,4.593,3471.0,0.0192123998114
175,8.547698613771315e+17,10314321+5706571,157.930101566664,57.1158632516533,56.9607,9.693,6.174,4013.0,0.09564841
178,,11032027+3558203,165.8341,35.9699,392.4,7.49,3.5010000000000003,4070.0,0.0232549252969
179,,11111972+4325031,167.8311,43.4173,59.01,10.975,6.5310000000000015,3500.0,0.04049326
182,,06105481+1019056,92.7283,10.3181,92.77,10.41,6.032,3647.0,0.0269323748233
184,,06540419+6052191,103.5177,60.8718,94.02,11.01,6.345,3444.0,0.0189810640415
185,,07272450+0513329,111.8521,5.2258,263.26,9.84,4.857,3193.0,0.00991254379627
187,9.85610542491482e+17,07352188+5450590,113.84116327228998,54.849714494086896,78.1854,11.297,6.955,3517.0,0.02031517
189,3.409711211681796e+18,04425581+1857285,70.73239716753679,18.9581650893065,105.563,9.95,5.607,3543.0,0.03365669
191,3.23843757491637e+18,05015057+0345551,75.4607111977007,3.7653454243877102,53.0273,11.300999999999998,7.233,3664.0,0.03529077
192,3.4076111827442893e+18,05072692+1838420,76.8625252059485,18.6450499840985,62.9467,4.92237,3.208,5725.0,2.40137
193,3.407785622839604e+18,05124223+1939566,78.1759441528656,19.6656545397696,82.2587,10.789,6.47,3565.0,0.02783079
195,2.8539008722071506e+18,,0.543088080825098,27.081799109425397,79.0696,5.6953,4.07000017166138,5570.0,0.559188823788
197,2.553195883802687e+18,00574455+0551205,14.435633016520299,5.85572764164609,56.1889,10.249,6.64,3897.0,0.06113109
198,,01031408+2005523,15.809,20.0978,62.8193,11.36,6.832000000000002,3553.0,0.02853416
199,5.336218594411699e+17,01023213+7140475,15.6343129140888,71.6798150841112,121.424,9.98,5.449,3452.0,0.02754031
201,3.480204483770614e+17,01364784+4124200,24.1993421346356,41.4054633085579,74.5711,4.09565,2.859,6105.51,3.3528300000000004
202,6.720913645418493e+17,07481617+2022073,117.06827483767401,20.3681254409646,68.0346,11.46,7.396,3632.0,0.02091721
209,,11111972+4325031,167.8335,43.4179,59.01,10.975,6.5310000000000015,3517.0,0.04049326
210,3.9721302766956605e+18,11123898+1856054,168.162381688007,18.9348431045616,59.9389,10.845999999999998,6.579,3627.0,0.04362583
212,,,175.436377,42.751974,90.66,11.86,6.82200002670288,3204.0,0.015
213,3.7960725922062505e+18,11474440+0048164,176.93498694485697,0.804556911189,296.307,11.12,5.654,3163.0,0.00396269
214,,,176.934985,0.804563,299.58,11.12,5.65399980545044,3040.0,0.00374115956997
215,,,177.264937,14.57206,90.16,2.11819,1.87999999523163,8730.0,14.47
217,3.234412606443086e+18,,80.6561916489553,2.6032266186787703,50.3943,7.8143,5.300000190734863,4784.0,0.3304534
218,3.400292798990118e+18,05242545+1723006,81.10609573759041,17.3835358558314,68.5628,4.99587,4.038,6136.4,1.77772
220,2.6391670802562368e+17,05412033+5328523,85.3347322015541,53.481058504738904,81.43,6.22156,4.272,5249.0,0.4776798
224,5.1820179297885696e+17,01515108+6426060,27.9630517667235,64.43497837231529,57.7647,11.415,6.937,3584.0,0.0336961960823
226,,02432085+1925452,40.83716,19.429224,52.96,8.23,5.539,4617.0,0.15029
231,3.2705907652461194e+18,03475809+0247161,56.9920760664588,2.7878194688799,56.9576,11.039,7.11,3710.0,0.03630883
232,1.0928975198755826e+18,08520035+6607536,133.00144984054398,66.1314969084499,60.5523,9.26,5.995,4086.0,0.1084181
235,,09175344+2833384,139.472689,28.560568,57.05,7.2,4.767,4825.0,0.501302720042
236,1.0629351408234852e+18,09351319+6114370,143.80496727805001,61.2435952819611,50.3508,11.909,7.622999999999998,3547.0,0.02568648
240,3.372159045216184e+18,06261024+1845249,96.5427248880826,18.7568846633678,67.7318,6.7530899999999985,4.271,4958.02,0.4633756
244,1.141280704422528e+18,06461411+7933542,101.55895420280399,79.56481016335509,54.9292,5.44439,4.141,6145.0,1.825788
245,1.0033514374842545e+18,06495699+6020077,102.487607808338,60.3355450845654,59.1275,8.58,5.612,4391.58,0.1626112
247,3.6997971507594895e+18,,185.106386948236,0.58356848155085,57.2962,10.1408,6.01000022888184,3764.0,0.0408283887341
248,,,185.752482,64.030831,55.5,11.63,7.1220002174377415,3455.0,0.0310052140661
249,,,187.239952,8.425517999999999,73.77,11.99,6.96000003814697,3156.0,0.017504124806
250,,,189.718549,11.696165,65.04,11.49,6.69099998474121,3312.0,0.0260279582964
251,,12490273+6606366,192.2615,66.1102,98.14,10.838,6.07,3276.0,0.0227066048509
252,,12574030+3513306,194.4178,35.225,55.27,10.57,6.5520000000000005,3793.0,0.0596514660817
253,,13061537+2043444,196.564039,20.729095,53.78,9.44,6.041,3967.85,0.12
255,3.3908185821717345e+18,05292704+1534383,82.3625714894625,15.577289641456199,58.1985,10.595999999999998,6.782,3765.0,0.04633195
256,3.338162729799839e+18,05321467+0949150,83.0610678020926,9.82081401502585,77.1801,11.517,6.56,3330.0,0.02189338
257,3.3179011657464714e+18,06171614+0506001,94.3172078926288,5.09997656380408,51.8027,5.71202,4.205,5928.24,1.643757
259,3.352485999057277e+18,06451737+1253438,101.322353942047,12.8955919817854,57.02,3.34085,1.6880000000000002,6484.91,49.6879542811
260,8.661774319550176e+17,07200710+2158526,110.02948691674999,21.9811631117226,53.9807,8.197000000000001,6.265,4931.0,0.1896171
262,1.0515470522182202e+18,09560868+6247185,149.036130022526,62.788463177272604,94.9397,8.99,5.2,3831.0,0.06880859
266,8.23773494718932e+17,10112218+4927153,152.84225011814,49.4542358772266,205.392,6.6,2.962,4019.0,0.105672992139
268,3.866550192349599e+17,00051079+4547116,1.29537156257181,45.7865665447841,86.9567,9.95,5.853,3661.0,0.04298198
271,2.7977455492007634e+18,00161455+1951385,4.0609442487835095,19.8604254792166,65.7222,11.79,7.0870000000000015,3256.0,0.01771569
273,5.279564883391135e+17,,8.12284066503071,67.235860036478,101.433,10.4755,6.039999961853027,3645.0,0.02407393
276,9.390726133345792e+17,06544902+3316058,103.70399047822501,33.2681773804509,179.16400000000004,9.89,5.275,3398.0,0.01624579
279,9.745361926582552e+17,07231489+4605145,110.81206302314199,46.0874126191204,58.9849,10.501,6.4620000000000015,3690.0,0.05143155
281,8.923484543948561e+17,07343745+3152102,113.65603140599701,31.869494731040202,66.2323,9.83,5.2360000000000015,3906.0,0.14227420000000002
282,1.4602293695733074e+18,13115238+2752411,197.968321166136,27.8781830047642,108.895,4.24037,2.923,5969.45,1.414261
283,,13194569+4746409,199.940375,47.778032,96.41,8.48,4.494,3603.0,0.0373
287,3.6544962795580114e+18,14231528+0114294,215.813686456787,1.24156720026732,57.3445,6.26276,4.644,5714.0,0.837097
288,1.6110872482821194e+18,14365301+5820549,219.22078917739398,58.3486012833004,54.1471,11.769,7.35,3467.0,0.02536643
293,7.772543603371333e+17,10592802+4025485,164.866557767301,40.43025621930229,72.4528,5.033519999999998,3.75,5872.0,1.576894
294,3.9889871643394386e+18,11000432+2249592,165.017737373209,22.8329574053008,148.128,10.068,5.495,3276.0,0.0185720572757
296,8.661774319536465e+17,07200736+2158561,110.030743380065,21.982306888623,57.7401,3.52406,2.555,6939.26,9.180161
299,1.0925457105146545e+18,08391162+6501151,129.798768026793,65.0209078538355,69.2004,5.631,4.173,5866.0,0.9731887
300,,,132.932559,18.124971,55.46,11.54,7.525000095367429,3639.0,0.0225296942809
301,,08552479+7047389,133.8534,70.7942,81.8856,8.81,4.559,4133.0,0.03624853
304,2.858600494141185e+18,00385879+3036583,9.746015182468767,30.616218692680803,78.9551,11.37,6.606,3499.0,0.0250106
305,3.08828253324986e+17,01175067+2840143,19.4609505006868,28.670493521901694,59.9246,11.569,7.502999999999999,3663.0,0.02440706
307,2.5607713127594506e+18,01432015+0419172,25.8340784376444,4.32165628808327,88.3392,10.93,6.516,3509.0,0.02274984
308,5.121290871826377e+17,01434072+6349242,25.9196823905788,63.8233980758949,73.9913,8.42,5.38,4334.27,0.1268078
311,6.702168346559361e+17,07545406+1914114,118.725264197177,19.236340597593,50.3358,7.76,5.454,5013.28,0.33511490000000005
312,8.763700765423599e+17,08003215+2912465,120.13387380135599,29.2123545331925,58.4791,6.999,5.095,5238.0,0.452896
314,6.503376644253976e+17,08143597+1301220,123.649643070982,13.0228261650411,52.1185,8.79,5.891,4380.64,0.1705195
316,1.0939188287391488e+18,08362561+6717419,129.106024901327,67.294958772242,71.0957,9.28,5.58,3869.0,0.08304038
321,1.234693112077611e+18,14462327+1629482,221.597009862835,16.4966990061705,56.3208,9.257,6.062,4213.0,0.112967
322,3.6554921278553073e+18,14471609+0242116,221.81708814739798,2.70322629693991,51.5701,7.76,5.615,4984.0,0.3085553
324,1.265976524286378e+18,14501581+2354424,222.565878202553,23.911842556455497,54.9068,5.89202,4.458,6030.0,1.244053
325,7.724305279478936e+17,11414471+4245072,175.43598341377498,42.7519735604175,90.7623,11.939,6.822,3287.0,0.01351817
329,3.9027851091243694e+18,12311578+0848380,187.815838294512,8.810608246786519,73.764,9.74,5.892,3834.0,0.06318831
330,1.534011998570864e+18,12334454+4121270,188.435666607942,41.3574782353205,116.13,4.24697,2.8480000000000003,5884.0,1.258513
332,,,142.685768,0.32266100000000003,103.56,11.71,6.87099981307983,3215.0,0.0118870814864
334,1.1304502700739246e+18,09464844+7602388,146.702025789973,76.0439174466423,63.3142,10.64,6.629,3676.0,0.04129721
336,,11052903+4331357,166.3691,43.5268,206.94,8.82,4.769,3638.0,0.0230640565985
338,,11140651+2031258,168.527155,20.523814,56.52,2.54355,2.144,7973.68,23.97
339,1.1291497239131236e+18,11474143+7841283,176.922452092493,78.6911609337911,190.262,10.772,5.954,3325.0,0.008132835
340,3.923500084291332e+17,00153905+4735220,3.91266074466336,47.58943710364501,87.0557,11.117,6.4670000000000005,3445.0,0.02235214
350,5.228633099649875e+17,01023895+6220422,15.661949894835901,62.34504800616821,101.465,9.56,5.371,3629.0,0.04557195
354,2.8609246212052567e+18,00063674+2901175,1.6532670438182,29.021502890929106,72.5764,6.1,4.314,5489.0,0.6472669
359,2.802397960855106e+18,00392187+2115024,9.840856298161741,21.250476680475604,89.7891,5.88437,3.999,5274.92,0.531926
361,,00021014+2704570,0.542565,27.082157,80.63,5.76063,4.0680000000000005,5365.25,
363,2.552288133874678e+18,01022459+0503413,15.6022764201632,5.06152364082116,65.7603,8.16,5.51,4615.0,0.148003
367,5.5105004645113626e+17,04011954+7609343,60.3317680659694,76.1593738115739,61.6177,8.2,5.455,4504.26,0.1904592
374,3.8525704130839235e+18,09295482+0539184,142.478439479389,5.65513311203647,78.229,7.2,4.788,4827.55,0.24883200000000005
377,3.540773486976874e+17,02221463+4752481,35.561016954372,47.880030620887204,83.7829,9.4,5.5539999999999985,3782.0,0.06213737
379,,,39.020367,6.88687,138.72,5.8263099999999985,3.45000004768372,4760.0,0.246718551214
380,8.46759373713326e+16,,40.8370214697769,19.429175713924998,53.5579,8.1791,5.539000034332275,4559.0,0.2372435
381,1.3986066648830566e+17,02520697+3423236,43.0297384572466,34.3893521652432,67.7365,9.6,6.297999999999999,4073.0,0.06364501
383,6.462552121093551e+17,09324378+2659192,143.18233097917,26.988530050674505,55.3165,7.001,5.119,5287.0,0.4722537
385,6.14543647497149e+17,09411033+1312344,145.29316816872,13.2095624502111,86.5522,10.393,6.127999999999999,3580.0,0.03306459
388,7.472664520002573e+17,10084315+3414322,152.17975380067801,34.2422635294101,54.6421,7.56,5.314,4941.0,0.3439604
391,1.552921051659353e+18,,199.939776133787,47.7780293166949,109.984,8.7478,4.49399995803833,3603.0,0.0373
393,3.719665841269119e+18,13333239+0835122,203.384998408395,8.58676300279501,55.3898,7.98,5.4929999999999986,4830.31,0.2481826
395,1.2446447273968036e+18,13450502+1747105,206.27117052325298,17.785435471796998,77.4471,9.79,6.22,3930.0,0.05296487
398,,,227.398304,3.166823,68.99,11.46,6.85799980163574,3352.0,0.0252008639588
401,1.209182041427374e+18,15224688+1855081,230.695141272534,18.918960836308894,50.6409,7.15959,5.294,5390.5,0.5013219
405,8.538199477569491e+17,10303759+5558501,157.65658486460399,55.9805378936504,77.4346,4.82,3.644,6171.92,1.618647
406,8.538209484819135e+17,10302530+5559569,157.605454422825,55.999127484116286,77.4032,8.86,5.3610000000000015,4070.0,0.0892371673337
410,3.741297293732404e+18,13454354+1453317,206.432398074061,14.8915200297362,183.984,8.46,4.415,3680.0,0.031266155439
411,1.510834911934401e+18,13515995+4957033,208.000022911181,49.95090976871339,70.1809,8.82,5.507999999999999,4075.0,0.1204279
413,1.6615688507707617e+18,13573203+6129343,209.383579889512,61.4928609307496,99.2285,6.49728,4.0939999999999985,4931.45,0.2910857
415,1.7157910605370767e+18,14081297+8035500,212.054089247002,80.597275597361,58.1724,10.291,6.327000000000001,3711.0,0.05827127
417,4.366481293261424e+17,03090387+4936479,47.266750703511896,49.61327629663261,95.1587,4.05641,2.7230000000000003,5938.0,2.230644
419,4.617019792330506e+17,03161389+5810072,49.057967909499204,58.1687422482615,73.7407,11.38,6.635,3549.0,0.02870719
420,4.617019792290134e+17,03161381+5810024,49.0576309729311,58.1673702583743,73.7645,10.53,6.566,3581.0,0.03115509
424,3.812355328621652e+18,11264531+0300475,171.68884049372,3.0130995998781,54.9177,6.48616,4.747,5438.0,0.7749235999999999
425,3.81235529426102e+18,11264627+0300229,171.692826958068,3.00632140462052,54.9057,7.56727,5.256,5069.61,0.3350458
427,4.02585073120182e+18,11410301+3412064,175.262566399936,34.2016340266853,104.39,5.29853,3.588,5502.0,0.6254202
433,4.4302380511990006e+18,15462661+0721109,236.610893454371,7.3530671241760714,84.6121,4.4154,2.989,5901.0,2.003516
436,1.3841950867922688e+18,15524052+4227052,238.168921406902,42.4515141949136,63.1627,4.61287,2.583,5805.13,3.136053
437,,,239.113239,15.661617,89.92,3.84453,2.66000008583069,6286.0,3.44854
439,1.7216266154219694e+18,14292223+8048355,217.342901691748,80.80985292732541,51.04,6.88541,4.917,5462.0,0.72
440,1.6694490849670715e+18,14422164+6603208,220.589899667184,66.05579029830879,91.4776,10.708,6.4910000000000005,3545.0,0.0228723
441,1.1878516532871286e+18,14542923+1606039,223.621816421545,16.1010552402119,100.681,10.076,5.77,3554.0,0.03275272
447,3.934198156329809e+18,12410647+1522359,190.277019038634,15.376667527428902,70.8895,7.91,5.075,4488.0,0.1910432
448,1.521686782461766e+18,12445938+3916441,191.24752111167305,39.2789161973781,56.9309,5.956,4.465,5911.0,1.091918
451,3.732539683617411e+18,13164653+0925269,199.19381732781798,9.424157557743419,57.0186,5.18799,4.033,6029.19,2.176381
452,1.156846524895814e+18,15045350+0538169,226.22302581283,5.638100142296231,52.5872,9.83,6.468,4062.0,0.08731064
453,1.3912414788574088e+18,15400352+4329396,235.015082718201,43.49420502078421,79.8919,11.88,7.563,3452.0,0.01165907
454,1.3912414788574085e+18,15400374+4329355,235.015935956666,43.4930712059797,79.9179,11.88,8.202,3375.0,0.0111491794801
455,1.193030490492926e+18,15562720+1539413,239.113262768061,15.6616081003246,89.4602,3.84453,2.7030000000000003,6236.34,2.9722630000000003
456,1.3852938081456215e+18,16102432+4349037,242.601313649114,43.8176385378053,55.7363,6.61935,4.714,5280.0,0.7035128
457,4.4673551542751457e+18,,247.21942199197602,18.4140561154878,51.749,7.6309,4.900000095367432,5026.0,0.3350121
458,4.467355158571184e+18,,247.21992065732,18.4137341689024,51.787,7.7943,4.900000095367432,5066.0,0.2839632
461,1.5466607159270413e+17,04442604+2751445,71.10857009748429,27.8622362230691,60.8112,11.187,7.106,3625.0,0.03015388
462,3.2889217200244424e+18,04495040+0657409,72.4600432185588,6.96127478521121,124.6,3.18465,1.6,6398.0,3.88681976703
466,1.4727182110534164e+18,13194014+3320477,199.917190532459,33.3465301561466,59.3075,10.62,6.393,3621.0,0.04941948
467,1.472903753640492e+18,13205797+3416446,200.24186499273398,34.2789440787412,60.0765,10.61,6.555,3097.0,0.0481774263461
469,3.745619095984248e+18,,203.18585420928002,16.8108647398128,60.3012,11.9161,6.828000068664551,3557.0,0.02139432
471,1.4717772696183462e+18,13372875+3543039,204.369869187554,35.7177624392219,91.2519,9.06,5.4860000000000015,3959.0,0.06938844
472,1.451450048399314e+18,13490401+2658447,207.26680469323296,26.9789474301339,74.2043,7.9559,4.415,4420.0,0.1678302
474,,16240913+4821112,246.0389,48.3529,124.34,10.27,5.915,3090.0,0.0185854819783
475,1.4111785108870262e+18,,246.038806735513,48.3530855600918,127.478,10.278,5.91499996185303,3090.0,0.0185854819783
476,,16285277+1824490,247.219622,18.413892,51.5259,6.9847899999999985,4.901,5179.0,0.704255900689
479,,,250.203789,36.316701,51.88,11.45,7.199999809265139,3490.0,0.044389408314
480,,16411728+3136093,250.321778,31.60275,92.63,2.806,1.278,5795.47,8.21838286624
486,4.550763526539956e+18,17375330+1835295,264.472278012844,18.5917112316565,122.561,9.62,5.572,3675.0,0.03212751
487,4.3771606048383775e+18,17391691+0333190,264.820496370576,3.55524001019475,93.36,6.51316,4.098,4982.09,0.612992984025
489,1.5052149300475428e+18,14172437+4526401,214.351591589691,45.4444761711041,51.429,10.21,6.601,3899.0,0.07072097
490,1.604859511344339e+18,14251181+5151029,216.299145892961,51.8507392012381,69.4861,4.03929,2.739,6216.86,4.128554
491,1.6048594082639877e+18,14251160+5149535,216.298251819046,51.8314180898308,68.7887,11.458,7.055,3482.0,0.02211891
493,1.1762098867334067e+18,14360055+0944474,219.002336391983,9.746514901800053,61.2111,7.48,5.142,4917.0,0.3035665
495,,05223749+0236111,80.656213,2.603101,50.24,7.76,5.3020000000000005,4894.0,0.26661
498,2.690679200012219e+17,05593774+5835351,89.907299535878,58.593012550350295,74.1524,10.251,6.2120000000000015,3677.0,0.0433677
501,3.316364602541746e+18,06000351+0242236,90.0145994210195,2.70655466092634,192.067,11.316,6.042000000000002,3228.0,0.006641573
512,4.7498720642844e+17,03531041+6234081,58.2934806932925,62.5689077111915,81.1474,11.496,6.997000000000001,3463.0,0.01749306
