ra,dec,plx,Vmag,Kmag,Teff,Lum,ID,hz_inner,hz_outer
213.915338,19.182202,88.83,-0.10357000000000001,-2.911,4279.96,263.047,459832522,1143.047887728599,2894.078689159086
213.91541899999999,19.18241,88.85,-0.10357000000000001,,4480.0,263.047,471011863,1136.0297259558595,2847.2849878718835
68.98015600000001,16.509301,50.09,0.8723989999999999,,4020.0,495.46300035,471011442,891.3388968751821,2286.754337250709
219.91004300000003,-60.833976,742.12,-0.01,,5790.0,1.5190000000000001,471011145,685.9929525668535,1613.7450705816127
279.234626,38.783691999999995,128.93,0.023844999999999998,0.129999995231628,9400.0,43.6187227928,471012017,639.6278360274872,1401.4315598225592
114.825498,5.224993,285.93,0.33322199999999996,,6560.0,7.70408676475,471011543,577.8784550388606,1317.3464778273649
114.825217,5.2249360000000005,285.93,0.3332,-0.6579999999999999,6583.95,7.70408676475,280310048,577.3948214499256,1315.0902017964167
116.32911499999999,28.026199,96.74,1.1251200000000001,,4910.0,37.2317290982,471011546,458.3582145997517,1124.2495349446735
297.695817,8.868322000000003,194.44,0.748983,0.259999990463257,7414.0,10.5219,471012052,448.4823103310024,995.2782449453595
297.695844,8.868386,194.95,0.748983,0.102,7747.24,10.5219,70257116,447.6663273073189,985.7829526423242
219.90398100000002,-60.837157,742.12,1.35,,5260.0,0.5002,471011144,402.1186352638731,969.5355251054574
130.385122077619,-32.9424769214059,117.32799999999999,11.892999999999999,11.547,8111.0,16.8616025934,185617406,340.93627387469013,745.9207159516466
263.733622,12.560035000000001,69.84,2.0761,1.67999994754791,7917.0,43.832,471011992,327.0591578222613,717.8320109260538
263.733611,12.560066,67.13,2.0761,1.683,7899.21,43.832,289643770,314.37945274938835,690.2254286857926
101.322353942047,12.8955919817854,57.02,3.34085,1.6880000000000002,6484.91,49.6879542811,372480991,293.44633855985245,670.8181331062747
211.67060899999998,-36.369934,55.45,2.06,-0.27399999999999997,4750.0,44.77636,179323446,289.8032079363353,716.5254061647204
177.264937,14.57206,90.16,2.1181900000000002,1.87999999523163,8730.0,14.47,471011722,246.09505180953607,535.6467256693621
354.83680836913805,77.63255404754591,70.91,3.23006,1.038,4833.61,18.26362,367912480,235.9747424477052,581.0001949552125
2.2945759999999997,59.149788,59.89,2.2736,1.454,6810.0,27.95,396298498,228.6316794916603,516.6178049360774
319.644793,62.58558299999999,66.84,2.4597900000000004,2.066,7631.4,22.8181064619,417604820,226.2864349991679,499.5458805552389
208.671115,18.397662,88.17,2.66268,1.485,6065.58,10.184733762899999,367758676,208.72713039702816,485.19310755139713
6.435112,-77.254246,133.78,2.82,1.3719999999999999,5839.18,4.18610680075,267211065,204.88130225440844,480.91881829024805
298.82830552141314,6.40677162185145,74.7633,3.7232300000000014,1.712,5081.0,12.205989073,375621179,201.51619403135817,490.1168235283435
250.32177799999997,31.60275,92.63,2.806,1.278,5795.47,8.218382866239999,43255143,199.1203589595898,468.3012349581949
311.322419834463,61.838782893357,69.73,3.4215400000000002,1.393,4871.43,13.1388746171,372682437,196.5444843754839,483.00565823315577
168.527155,20.523814,56.52,2.54355,2.144,7973.68,23.97,159523958,195.72653267401608,429.1554558886445
275.327498210449,-2.89882792887342,52.81,3.24218,1.05,4847.75,22.136744341999997,168775356,193.3806462494769,475.7920633164631
200.149227503129,-36.7122795270868,55.64,2.75,2.7569999999999997,9096.67,21.94278,30753143,190.80543646759938,415.94602873742565
64.1209550036832,-59.3021545824827,54.7051,4.44,1.745,4850.71,19.92253,198079199,190.01719684971843,467.44761613204673
190.41516843685199,-1.44929738536206,84.53,2.73969,1.8730000000000002,7146.95,9.47689722406,51735845,186.11420649432688,416.08532559776836
28.660037,20.808067,54.74,2.6507,2.27,8318.0,22.13,91356756,182.65625394279724,398.57775858918734
72.4600432185588,6.96127478521121,124.6,3.18465,1.6,6398.0,3.88681976703,399665349,179.91517052224236,412.64988242045024
